chr	start	end	rDHS_accession	cCRE_accession	group
chr19	533059	533408	EH38D3030648	EH38E1930080	pELS,CTCF-bound
chr19	533551	533891	EH38D3030649	EH38E1930081	dELS,CTCF-bound
chr19	535074	535414	EH38D3030651	EH38E1930083	dELS,CTCF-bound
chr19	543805	544152	EH38D3030667	EH38E1930093	PLS
chr19	547918	548169	EH38D3030672	EH38E1930097	dELS,CTCF-bound
chr19	548937	549110	EH38D3030674	EH38E1930098	dELS,CTCF-bound
chr19	550093	550442	EH38D3030677	EH38E1930100	dELS,CTCF-bound
chr19	551210	551547	EH38D3030678	EH38E1930101	dELS,CTCF-bound
chr19	555966	556316	EH38D3030684	EH38E1930106	dELS,CTCF-bound
chr19	556567	556905	EH38D3030685	EH38E1930107	dELS,CTCF-bound
chr19	558789	559134	EH38D3030686	EH38E1930108	dELS
chr19	566423	566773	EH38D3030689	EH38E1930111	dELS,CTCF-bound
chr19	566922	567124	EH38D3030690	EH38E1930112	dELS,CTCF-bound
chr19	567435	567638	EH38D3030691	EH38E1930113	dELS,CTCF-bound
chr19	570240	570586	EH38D3030694	EH38E1930116	pELS
chr19	571012	571357	EH38D3030695	EH38E1930117	PLS,CTCF-bound
chr19	571359	571561	EH38D3030696	EH38E1930118	PLS,CTCF-bound
chr19	571597	571915	EH38D3030697	EH38E1930119	PLS,CTCF-bound
chr19	572249	572599	EH38D3030698	EH38E1930120	PLS,CTCF-bound
chr19	572814	573047	EH38D3030699	EH38E1930121	pELS,CTCF-bound
chr19	573070	573306	EH38D3030700	EH38E1930122	pELS,CTCF-bound
chr19	573320	573644	EH38D3030701	EH38E1930123	pELS,CTCF-bound
chr19	573724	573889	EH38D3030702	EH38E1930124	pELS,CTCF-bound
chr19	574713	575061	EH38D3030704	EH38E1930126	dELS,CTCF-bound
chr19	575125	575345	EH38D3030705	EH38E1930127	dELS,CTCF-bound
chr19	575473	575822	EH38D3030706	EH38E1930128	dELS
chr19	575932	576113	EH38D3030707	EH38E1930129	dELS
chr19	576158	576505	EH38D3030708	EH38E1930130	dELS,CTCF-bound
chr19	577782	578000	EH38D3030711	EH38E1930132	dELS,CTCF-bound
chr19	584381	584713	EH38D3030720	EH38E1930139	dELS,CTCF-bound
chr19	584807	585035	EH38D3030721	EH38E1930140	dELS,CTCF-bound
chr19	587027	587296	EH38D3030727	EH38E1930146	dELS,CTCF-bound
chr19	588184	588533	EH38D3030728	EH38E1930147	pELS,CTCF-bound
chr19	588659	588975	EH38D3030729	EH38E1930148	pELS,CTCF-bound
chr19	589472	589666	EH38D3030731	EH38E1930149	pELS,CTCF-bound
chr19	590323	590598	EH38D3030733	EH38E1930151	pELS,CTCF-bound
chr19	590600	590854	EH38D3030734	EH38E1930152	pELS
chr19	591888	592123	EH38D3030737	EH38E1930155	pELS
chr19	597545	597795	EH38D3030740	EH38E1930156	CTCF-only,CTCF-bound
chr19	604340	604687	EH38D3030744	EH38E1930158	dELS
chr19	605013	605360	EH38D3030745	EH38E1930159	dELS,CTCF-bound
chr19	605741	605903	EH38D3030746	EH38E1930160	dELS,CTCF-bound
chr19	609056	609327	EH38D3030749	EH38E1930163	dELS,CTCF-bound
chr19	610132	610481	EH38D3030750	EH38E1930164	dELS,CTCF-bound
chr19	610683	611032	EH38D3030751	EH38E1930165	dELS,CTCF-bound
chr19	611037	611341	EH38D3030752	EH38E1930166	dELS
chr19	611524	611872	EH38D3030753	EH38E1930167	dELS
chr19	615811	616038	EH38D3030755	EH38E1930169	DNase-H3K4me3,CTCF-bound
chr19	617207	617543	EH38D3030759	EH38E1930173	dELS
chr19	623962	624308	EH38D3030763	EH38E1930175	dELS,CTCF-bound
chr19	628192	628522	EH38D3030765	EH38E1930177	dELS,CTCF-bound
chr19	629501	629850	EH38D3030766	EH38E1930178	dELS,CTCF-bound
chr19	632285	632604	EH38D3030770	EH38E1930181	pELS
chr19	632627	632818	EH38D3030771	EH38E1930182	pELS,CTCF-bound
chr19	632901	633189	EH38D3030772	EH38E1930183	pELS,CTCF-bound
chr19	633467	633816	EH38D3030773	EH38E1930184	PLS,CTCF-bound
chr19	633890	634122	EH38D3030774	EH38E1930185	pELS
chr19	636905	637174	EH38D3030778	EH38E1930188	DNase-H3K4me3
chr19	639582	639929	EH38D3030782	EH38E1930192	PLS,CTCF-bound
chr19	647966	648223	EH38D3030791	EH38E1930200	dELS
chr19	658603	658845	EH38D3030806	EH38E1930210	dELS,CTCF-bound
chr19	659492	659842	EH38D3030808	EH38E1930212	dELS,CTCF-bound
chr19	660367	660717	EH38D3030809	EH38E1930213	dELS,CTCF-bound
chr19	660879	661211	EH38D3030810	EH38E1930214	dELS,CTCF-bound
chr19	661395	661736	EH38D3030811	EH38E1930215	pELS,CTCF-bound
chr19	662155	662499	EH38D3030812	EH38E1930216	pELS,CTCF-bound
chr19	662879	663121	EH38D3030813	EH38E1930217	pELS,CTCF-bound
chr19	663130	663475	EH38D3030814	EH38E1930218	PLS,CTCF-bound
chr19	663522	663686	EH38D3030815	EH38E1930219	PLS,CTCF-bound
chr19	664904	665254	EH38D3030818	EH38E1930221	pELS,CTCF-bound
chr19	667686	667918	EH38D3030822	EH38E1930224	dELS
chr19	669163	669512	EH38D3030824	EH38E1930226	dELS
chr19	670479	670678	EH38D3030826	EH38E1930227	dELS,CTCF-bound
chr19	670762	670940	EH38D3030827	EH38E1930228	dELS,CTCF-bound
chr19	674380	674578	EH38D3030833	EH38E1930232	pELS,CTCF-bound
chr19	674881	675106	EH38D3030834	EH38E1930233	pELS
chr19	675544	675873	EH38D3030835	EH38E1930234	pELS,CTCF-bound
chr19	676351	676523	EH38D3030836	EH38E1930235	PLS,CTCF-bound
chr19	676536	676694	EH38D3030837	EH38E1930236	pELS
chr19	676805	677141	EH38D3030838	EH38E1930237	pELS,CTCF-bound
chr19	677234	677580	EH38D3030839	EH38E1930238	pELS
chr19	677602	677764	EH38D3030840	EH38E1930239	pELS,CTCF-bound
chr19	677984	678334	EH38D3030841	EH38E1930240	pELS,CTCF-bound
chr19	678978	679221	EH38D3030843	EH38E1930241	pELS
chr19	679715	680059	EH38D3030844	EH38E1930242	pELS,CTCF-bound
chr19	680370	680719	EH38D3030845	EH38E1930243	PLS,CTCF-bound
chr19	680865	681190	EH38D3030846	EH38E1930244	pELS,CTCF-bound
chr19	681242	681398	EH38D3030847	EH38E1930245	pELS,CTCF-bound
chr19	681403	681749	EH38D3030848	EH38E1930246	pELS,CTCF-bound
chr19	695360	695710	EH38D3030868	EH38E1930256	PLS
chr19	699273	699537	EH38D3030873	EH38E1930259	dELS
chr19	699948	700244	EH38D3030874	EH38E1930260	dELS,CTCF-bound
chr19	703716	703872	EH38D3030878	EH38E1930261	dELS,CTCF-bound
chr19	703895	704172	EH38D3030879	EH38E1930262	dELS,CTCF-bound
chr19	704173	704372	EH38D3030880	EH38E1930263	dELS,CTCF-bound
chr19	707485	707834	EH38D3030882	EH38E1930264	pELS
chr19	708300	708577	EH38D3030884	EH38E1930265	pELS,CTCF-bound
chr19	708652	708991	EH38D3030885	EH38E1930266	PLS,CTCF-bound
chr19	709238	709511	EH38D3030886	EH38E1930267	pELS,CTCF-bound
chr19	709698	709973	EH38D3030887	EH38E1930268	pELS,CTCF-bound
chr19	710046	710261	EH38D3030888	EH38E1930269	pELS,CTCF-bound
chr19	710293	710632	EH38D3030889	EH38E1930270	pELS
chr19	710751	711098	EH38D3030890	EH38E1930271	pELS
chr19	711345	711564	EH38D3030891	EH38E1930272	dELS
chr19	711662	711959	EH38D3030892	EH38E1930273	dELS,CTCF-bound
chr19	718389	718683	EH38D3030897	EH38E1930276	dELS,CTCF-bound
chr19	718734	718918	EH38D3030898	EH38E1930277	dELS,CTCF-bound
chr19	719119	719458	EH38D3030899	EH38E1930278	dELS
chr19	720612	720945	EH38D3030902	EH38E1930281	dELS
chr19	721006	721253	EH38D3030903	EH38E1930282	dELS
chr19	722586	722919	EH38D3030904	EH38E1930283	dELS,CTCF-bound
chr19	734067	734390	EH38D3030917	EH38E1930293	pELS,CTCF-bound
chr19	737519	737858	EH38D3030921	EH38E1930297	dELS,CTCF-bound
chr19	737882	738053	EH38D3030922	EH38E1930298	dELS,CTCF-bound
chr19	738574	738915	EH38D3030923	EH38E1930299	dELS,CTCF-bound
chr19	738921	739097	EH38D3030924	EH38E1930300	dELS,CTCF-bound
chr19	739913	740220	EH38D3030925	EH38E1930301	dELS
chr19	740467	740670	EH38D3030926	EH38E1930302	dELS,CTCF-bound
chr19	741545	741892	EH38D3030928	EH38E1930304	dELS,CTCF-bound
chr19	743324	743674	EH38D3030931	EH38E1930306	dELS,CTCF-bound
chr19	748278	748487	EH38D3030940	EH38E1930314	dELS,CTCF-bound
chr19	750695	750931	EH38D3030943	EH38E1930317	pELS,CTCF-bound
chr19	751038	751385	EH38D3030944	EH38E1930318	PLS,CTCF-bound
chr19	751500	751654	EH38D3030945	EH38E1930319	pELS,CTCF-bound
chr19	751711	752057	EH38D3030946	EH38E1930320	pELS,CTCF-bound
chr19	752664	753004	EH38D3030947	EH38E1930321	pELS
chr19	753039	753380	EH38D3030948	EH38E1930322	dELS,CTCF-bound
chr19	768455	768775	EH38D3030965	EH38E1930334	dELS
chr19	770277	770621	EH38D3030968	EH38E1930335	dELS,CTCF-bound
chr19	770950	771140	EH38D3030969	EH38E1930336	dELS,CTCF-bound
chr19	771293	771593	EH38D3030970	EH38E1930337	dELS,CTCF-bound
chr19	776533	776881	EH38D3030977	EH38E1930340	dELS
chr19	778929	779279	EH38D3030979	EH38E1930342	dELS,CTCF-bound
chr19	779287	779522	EH38D3030980	EH38E1930343	dELS,CTCF-bound
chr19	782293	782498	EH38D3030983	EH38E1930344	pELS,CTCF-bound
chr19	782559	782901	EH38D3030984	EH38E1930345	PLS,CTCF-bound
chr19	783124	783438	EH38D3030985	EH38E1930346	pELS
chr19	783460	783709	EH38D3030986	EH38E1930347	pELS,CTCF-bound
chr19	784637	784859	EH38D3030988	EH38E1930348	pELS,CTCF-bound
chr19	788596	788777	EH38D3030990	EH38E1930350	dELS
chr19	788850	789166	EH38D3030991	EH38E1930351	dELS
chr19	789261	789546	EH38D3030992	EH38E1930352	dELS,CTCF-bound
chr19	789549	789894	EH38D3030993	EH38E1930353	dELS,CTCF-bound
chr19	791305	791506	EH38D3030996	EH38E1930354	dELS
chr19	791713	792062	EH38D3030997	EH38E1930355	dELS
chr19	792281	792489	EH38D3030998	EH38E1930356	dELS
chr19	792494	792818	EH38D3030999	EH38E1930357	dELS
chr19	796094	796324	EH38D3031006	EH38E1930363	pELS,CTCF-bound
chr19	796973	797312	EH38D3031010	EH38E1930365	PLS,CTCF-bound
chr19	797698	798047	EH38D3031012	EH38E1930366	pELS,CTCF-bound
chr19	798153	798460	EH38D3031013	EH38E1930367	pELS,CTCF-bound
chr19	798526	798676	EH38D3031014	EH38E1930368	pELS,CTCF-bound
chr19	798688	799032	EH38D3031015	EH38E1930369	pELS,CTCF-bound
chr19	799073	799274	EH38D3031016	EH38E1930370	pELS,CTCF-bound
chr19	799381	799588	EH38D3031017	EH38E1930371	PLS,CTCF-bound
chr19	799619	799891	EH38D3031018	EH38E1930372	pELS,CTCF-bound
chr19	800164	800365	EH38D3031019	EH38E1930373	pELS,CTCF-bound
chr19	800527	800836	EH38D3031020	EH38E1930374	pELS,CTCF-bound
chr19	801060	801264	EH38D3031021	EH38E1930375	pELS,CTCF-bound
chr19	801327	801662	EH38D3031022	EH38E1930376	dELS,CTCF-bound
chr19	801986	802333	EH38D3031023	EH38E1930377	dELS,CTCF-bound
chr19	802639	802794	EH38D3031024	EH38E1930378	dELS
chr19	802906	803098	EH38D3031025	EH38E1930379	pELS,CTCF-bound
chr19	803494	803736	EH38D3031026	EH38E1930380	pELS
chr19	805726	806002	EH38D3031031	EH38E1930385	pELS,CTCF-bound
chr19	806035	806278	EH38D3031032	EH38E1930386	pELS
chr19	807068	807271	EH38D3031035	EH38E1930388	dELS,CTCF-bound
chr19	807297	807451	EH38D3031036	EH38E1930389	dELS,CTCF-bound
chr19	811096	811421	EH38D3031044	EH38E1930397	dELS
chr19	820990	821160	EH38D3031064	EH38E1930415	pELS
chr19	821203	821512	EH38D3031065	EH38E1930416	pELS
chr19	821908	822231	EH38D3031066	EH38E1930417	PLS,CTCF-bound
chr19	822268	822536	EH38D3031067	EH38E1930418	pELS,CTCF-bound
chr19	823664	824003	EH38D3031069	EH38E1930419	pELS
chr19	827657	827972	EH38D3031075	EH38E1930424	PLS,CTCF-bound
chr19	830184	830482	EH38D3031080	EH38E1930429	DNase-H3K4me3,CTCF-bound
chr19	843155	843398	EH38D3031094	EH38E1930441	PLS,CTCF-bound
chr19	843419	843743	EH38D3031095	EH38E1930442	pELS,CTCF-bound
chr19	843845	844037	EH38D3031096	EH38E1930443	pELS,CTCF-bound
chr19	844210	844540	EH38D3031097	EH38E1930444	pELS
chr19	844575	844792	EH38D3031098	EH38E1930445	pELS,CTCF-bound
chr19	850302	850562	EH38D3031108	EH38E1930455	pELS
chr19	850589	850934	EH38D3031109	EH38E1930456	pELS,CTCF-bound
chr19	851025	851222	EH38D3031110	EH38E1930457	PLS,CTCF-bound
chr19	852111	852403	EH38D3031113	EH38E1930460	PLS
chr19	852761	853033	EH38D3031114	EH38E1930461	DNase-H3K4me3
chr19	857020	857259	EH38D3031119	EH38E1930464	CTCF-only,CTCF-bound
chr19	859064	859411	EH38D3031121	EH38E1930466	pELS,CTCF-bound
chr19	859442	859791	EH38D3031122	EH38E1930467	PLS,CTCF-bound
chr19	859885	860099	EH38D3031123	EH38E1930468	pELS,CTCF-bound
chr19	860434	860783	EH38D3031124	EH38E1930469	pELS,CTCF-bound
chr19	860816	861029	EH38D3031125	EH38E1930470	pELS,CTCF-bound
chr19	861478	861749	EH38D3031126	EH38E1930471	pELS,CTCF-bound
chr19	861949	862298	EH38D3031127	EH38E1930472	dELS,CTCF-bound
chr19	862321	862489	EH38D3031128	EH38E1930473	dELS
chr19	862508	862728	EH38D3031129	EH38E1930474	dELS,CTCF-bound
chr19	862732	863027	EH38D3031130	EH38E1930475	dELS,CTCF-bound
chr19	863332	863537	EH38D3031131	EH38E1930476	dELS,CTCF-bound
chr19	863851	864196	EH38D3031133	EH38E1930477	dELS,CTCF-bound
chr19	864229	864445	EH38D3031134	EH38E1930478	dELS,CTCF-bound
chr19	867382	867705	EH38D3031139	EH38E1930481	dELS,CTCF-bound
chr19	869456	869789	EH38D3031143	EH38E1930484	dELS,CTCF-bound
chr19	869895	870243	EH38D3031144	EH38E1930485	dELS
chr19	870964	871306	EH38D3031145	EH38E1930486	dELS
chr19	871642	871888	EH38D3031147	EH38E1930488	dELS,CTCF-bound
chr19	871965	872245	EH38D3031148	EH38E1930489	dELS
chr19	872314	872524	EH38D3031149	EH38E1930490	dELS,CTCF-bound
chr19	872535	872694	EH38D3031150	EH38E1930491	dELS
chr19	872700	872967	EH38D3031151	EH38E1930492	dELS
chr19	873089	873436	EH38D3031152	EH38E1930493	dELS
chr19	873893	874085	EH38D3031153	EH38E1930494	dELS,CTCF-bound
chr19	874455	874645	EH38D3031154	EH38E1930495	dELS
chr19	874717	874996	EH38D3031155	EH38E1930496	dELS
chr19	876118	876461	EH38D3031157	EH38E1930498	dELS
chr19	883761	884109	EH38D3031162	EH38E1930503	dELS,CTCF-bound
chr19	888869	889095	EH38D3031169	EH38E1930510	dELS
chr19	891841	892146	EH38D3031173	EH38E1930514	pELS
chr19	892342	892525	EH38D3031174	EH38E1930515	pELS,CTCF-bound
chr19	892613	892848	EH38D3031175	EH38E1930516	pELS
chr19	893068	893416	EH38D3031176	EH38E1930517	PLS,CTCF-bound
chr19	893438	893785	EH38D3031177	EH38E1930518	PLS,CTCF-bound
chr19	895460	895679	EH38D3031180	EH38E1930520	dELS,CTCF-bound
chr19	897458	897796	EH38D3031182	EH38E1930522	dELS,CTCF-bound
chr19	898700	899033	EH38D3031183	EH38E1930523	dELS,CTCF-bound
chr19	900152	900305	EH38D3031186	EH38E1930526	dELS
chr19	900412	900571	EH38D3031187	EH38E1930527	dELS,CTCF-bound
chr19	900571	900919	EH38D3031188	EH38E1930528	dELS
chr19	902987	903172	EH38D3031192	EH38E1930531	dELS
chr19	903231	903525	EH38D3031193	EH38E1930532	dELS
chr19	903578	903749	EH38D3031194	EH38E1930533	dELS,CTCF-bound
chr19	904096	904334	EH38D3031195	EH38E1930534	dELS,CTCF-bound
chr19	905741	906079	EH38D3031196	EH38E1930535	dELS
chr19	906549	906887	EH38D3031197	EH38E1930536	dELS
chr19	907237	907587	EH38D3031198	EH38E1930537	dELS,CTCF-bound
chr19	907613	907935	EH38D3031199	EH38E1930538	dELS,CTCF-bound
chr19	908692	909041	EH38D3031201	EH38E1930540	dELS,CTCF-bound
chr19	909197	909547	EH38D3031202	EH38E1930541	dELS,CTCF-bound
chr19	909703	910046	EH38D3031203	EH38E1930542	dELS
chr19	911744	912063	EH38D3031205	EH38E1930544	pELS,CTCF-bound
chr19	912331	912520	EH38D3031206	EH38E1930545	pELS
chr19	912662	912908	EH38D3031207	EH38E1930546	pELS,CTCF-bound
chr19	913009	913359	EH38D3031208	EH38E1930547	PLS,CTCF-bound
chr19	913541	913692	EH38D3031209	EH38E1930548	pELS,CTCF-bound
chr19	916676	916945	EH38D3031212	EH38E1930550	pELS,CTCF-bound
chr19	916989	917330	EH38D3031213	EH38E1930551	PLS,CTCF-bound
chr19	917583	917933	EH38D3031214	EH38E1930552	pELS,CTCF-bound
chr19	918647	918811	EH38D3031215	EH38E1930553	pELS,CTCF-bound
chr19	918823	919067	EH38D3031216	EH38E1930554	pELS
chr19	919423	919771	EH38D3031217	EH38E1930555	dELS,CTCF-bound
chr19	919802	920127	EH38D3031218	EH38E1930556	dELS,CTCF-bound
chr19	920185	920532	EH38D3031219	EH38E1930557	dELS,CTCF-bound
chr19	920840	921186	EH38D3031220	EH38E1930558	dELS
chr19	921468	921627	EH38D3031221	EH38E1930559	dELS,CTCF-bound
chr19	921670	921974	EH38D3031222	EH38E1930560	dELS,CTCF-bound
chr19	923640	923879	EH38D3031224	EH38E1930562	dELS,CTCF-bound
chr19	924203	924466	EH38D3031226	EH38E1930564	pELS
chr19	924569	924843	EH38D3031227	EH38E1930565	pELS,CTCF-bound
chr19	925011	925197	EH38D3031228	EH38E1930566	pELS,CTCF-bound
chr19	925415	925565	EH38D3031229	EH38E1930567	pELS,CTCF-bound
chr19	925582	925910	EH38D3031230	EH38E1930568	pELS,CTCF-bound
chr19	925912	926115	EH38D3031231	EH38E1930569	PLS,CTCF-bound
chr19	926282	926494	EH38D3031232	EH38E1930570	pELS,CTCF-bound
chr19	926523	926697	EH38D3031233	EH38E1930571	pELS,CTCF-bound
chr19	926813	926975	EH38D3031234	EH38E1930572	pELS,CTCF-bound
chr19	926980	927270	EH38D3031235	EH38E1930573	pELS,CTCF-bound
chr19	927450	927604	EH38D3031236	EH38E1930574	pELS,CTCF-bound
chr19	927695	927866	EH38D3031237	EH38E1930575	pELS,CTCF-bound
chr19	928124	928343	EH38D3031238	EH38E1930576	pELS
chr19	928743	929081	EH38D3031239	EH38E1930577	PLS,CTCF-bound
chr19	931932	932121	EH38D3031242	EH38E1930580	dELS
chr19	932346	932637	EH38D3031243	EH38E1930581	dELS,CTCF-bound
chr19	932805	932966	EH38D3031244	EH38E1930582	dELS,CTCF-bound
chr19	932976	933186	EH38D3031245	EH38E1930583	dELS,CTCF-bound
chr19	933219	933559	EH38D3031246	EH38E1930584	dELS,CTCF-bound
chr19	933568	933836	EH38D3031247	EH38E1930585	dELS,CTCF-bound
chr19	934581	934747	EH38D3031249	EH38E1930587	dELS,CTCF-bound
chr19	935056	935406	EH38D3031250	EH38E1930588	dELS,CTCF-bound
chr19	940481	940823	EH38D3031258	EH38E1930594	dELS,CTCF-bound
chr19	940870	941218	EH38D3031259	EH38E1930595	dELS,CTCF-bound
chr19	941434	941596	EH38D3031260	EH38E1930596	dELS,CTCF-bound
chr19	944120	944469	EH38D3031264	EH38E1930600	dELS,CTCF-bound
